id,fracture_degree,coal_strength,floor_strength,roof_strength,depth,width,bolt_area,anchor_density,roof_displacement
158,0.0,20.0,35.0,59.24,452.0,4.0,0.72,2.5,97.62
159,1.0,12.14,35.97,45.1,514.0,3.2,0.64,1.25,70.0
160,1.0,14.0,27.6,26.03,396.0,4.7,0.8,2.0,49.0
161,0.0,11.03,85.0,57.58,420.0,3.7,1.0,1.0,49.2
162,1.0,11.03,26.7,36.42,550.0,5.2,0.81,1.11,80.0
163,1.0,1.8,35.8,95.34,550.0,2.8,0.49,0.95,113.33
164,1.0,11.0,27.67,51.57,700.0,4.5,0.64,2.5,326.0
166,0.0,7.2,26.32,68.39,400.0,5.0,0.9,1.0,23.0
167,1.0,6.0,25.0,39.86,495.0,5.0,0.64,5.0,33.0
168,0.0,11.03,26.7,71.52,528.0,5.3,1.0,1.0,30.0
169,0.0,6.89,24.31,74.74,400.0,5.1,1.1,3.0,11.8
170,1.0,14.0,29.1,45.65,484.0,5.0,0.72,3.33,6.4
171,0.0,15.5,36.7,64.54,450.0,5.5,1.1,1.0,39.0
172,1.0,8.1,20.6,34.88,215.0,4.8,0.9,2.0,2.7
173,1.0,14.91,31.24,49.49,477.0,4.2,0.49,1.43,46.2
174,1.0,11.03,26.7,42.71,540.0,5.0,0.72,3.33,68.0
175,1.0,14.98,26.14,31.9,112.0,3.1,1.0,1.5,85.76
176,1.0,9.38,51.79,54.58,450.0,5.0,0.81,1.67,200.0
177,1.0,10.3,15.0,76.1,850.0,5.0,0.72,2.5,150.0
178,0.0,10.76,43.25,29.57,100.0,4.2,1.0,1.0,24.6
179,0.0,15.0,35.0,35.02,670.0,4.6,1.0,1.5,50.0
180,0.0,15.34,23.8,72.31,431.0,3.7,0.49,0.95,38.5
181,1.0,4.0,34.35,57.4,350.0,3.2,0.8,0.33,55.0
182,1.0,11.03,112.8,77.7,480.0,5.0,0.64,5.0,75.0
183,1.0,11.03,26.7,53.38,468.0,6.0,0.64,1.88,70.0
184,1.0,15.0,78.0,79.0,560.0,3.8,0.72,2.22,20.0
185,0.0,15.0,17.52,90.0,180.0,5.0,0.9,2.0,95.0
186,1.0,11.8,31.05,51.65,650.0,5.2,0.72,1.67,53.0
187,1.0,8.04,22.17,44.64,540.0,5.6,1.0,1.5,49.5
188,0.0,11.49,51.34,65.65,550.0,3.8,0.81,0.56,120.0
189,1.0,14.3,35.8,62.09,285.0,4.6,1.0,2.5,10.4
190,1.0,9.0,13.5,40.24,358.0,5.2,0.72,1.25,11.5
191,1.0,18.0,50.0,47.23,310.0,2.7,0.49,0.71,66.0
192,1.0,10.94,24.56,49.48,704.0,3.85,0.64,1.25,248.0
193,1.0,14.74,15.0,19.8,465.0,3.8,0.56,1.25,18.05
194,0.0,11.17,22.05,43.08,620.0,4.6,0.64,1.25,220.0
195,1.0,14.0,31.9,32.04,375.0,4.7,0.8,2.0,5.0
197,1.0,16.03,35.03,51.57,521.0,4.8,0.9,1.5,54.0
198,1.0,13.1,32.8,33.12,722.0,6.0,0.72,1.11,55.6
199,0.0,6.64,24.31,65.48,348.0,4.0,0.9,1.0,370.0
200,0.0,21.0,15.6,22.57,572.0,5.5,0.72,2.22,125.0
