test_sample_index,y_true,y_pred,prediction_error,depth,width,bolt_area,anchor_density,roof_strength,coal_strength,initial_risk_level,final_risk_level,support_check_result,error_check,triggered_rules,engineering_suggestion
15,45.0,57.30233649599138,12.302336495991383,460.0,4.5,1.44,0.83,66.73,18.0,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
16,13.0,36.13783734083492,23.13783734083492,500.0,4.5,1.1,0.67,47.2,8.6,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,anchor_density<=0.8: 锚索密度偏低,预测顶板位移较小，现有支护参数基本满足控制要求。
17,142.0,110.57670732779494,31.423292672205065,890.0,5.0,0.56,5.0,20.77,18.0,较高风险,较高风险,预测位移较大且锚杆支护面积偏低，建议提高锚杆支护参数,预测误差较大，建议人工复核,depth>=700: 埋深较大，关注深部高地应力影响; displacement>=100 & bolt_area<=0.64: 建议提高锚杆支护; roof_strength<=30: 顶板强度偏低，加强复核,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。
18,61.3,69.46612176736186,8.166121767361858,350.0,4.2,0.64,2.5,32.0,11.0,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
19,33.0,33.87882138091169,0.8788213809116883,488.0,5.4,1.21,1.82,110.7,12.3,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。
20,50.0,47.35845761899196,2.641542381008037,500.0,5.4,0.72,1.11,59.36,13.8,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。
21,55.6,67.16082361654351,11.560823616543509,722.0,6.0,0.72,1.11,33.12,13.1,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,depth>=700: 埋深较大，关注深部高地应力影响,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
22,70.0,65.25663933152165,4.743360668478346,400.0,4.2,0.81,1.11,31.04,11.5,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
23,49.0,25.57372267954869,23.42627732045131,396.0,4.7,0.8,2.0,26.03,14.0,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,roof_strength<=30: 顶板强度偏低，加强复核,预测顶板位移较小，现有支护参数基本满足控制要求。
24,97.62,80.26203551553091,17.357964484469093,452.0,4.0,0.64,2.5,59.24,20.0,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
25,100.0,122.8552300554873,22.855230055487297,855.0,4.0,0.49,1.43,47.22,12.66,较高风险,较高风险,预测位移较大且锚杆支护面积偏低，建议提高锚杆支护参数,预测误差处于可接受范围,depth>=700: 埋深较大，关注深部高地应力影响; bolt_area<=0.55: 锚杆支护面积偏低; displacement>=100 & bolt_area<=0.64: 建议提高锚杆支护,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。
26,74.8,69.3486528306032,5.451347169396797,429.0,4.5,0.64,1.25,50.54,14.58,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
27,50.0,50.08156289789627,0.08156289789626925,404.0,4.2,0.9,0.5,20.29,70.0,中风险,中风险,支护参数满足当前设计要求,预测误差处于可接受范围,anchor_density<=0.8: 锚索密度偏低; roof_strength<=30: 顶板强度偏低，加强复核,预测顶板位移处于中等水平，建议保持现有支护并加强监测。
28,10.0,17.860895905711388,7.860895905711388,660.0,5.2,0.8,3.0,50.21,11.03,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。
29,7.2,5.422116530020106,1.7778834699798942,278.0,4.8,0.81,3.33,24.25,8.2,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,roof_strength<=30: 顶板强度偏低，加强复核,预测顶板位移较小，现有支护参数基本满足控制要求。
30,52.0,49.70546261487234,2.2945373851276614,401.0,4.2,0.6,2.67,53.8,13.06,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。
31,136.0,141.7881287075852,5.7881287075852015,836.0,3.3,0.56,2.86,10.61,5.8,较高风险,较高风险,预测位移较大且锚杆支护面积偏低，建议提高锚杆支护参数,预测误差处于可接受范围,depth>=700: 埋深较大，关注深部高地应力影响; displacement>=100 & bolt_area<=0.64: 建议提高锚杆支护; roof_strength<=30: 顶板强度偏低，加强复核,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。
32,75.0,101.58017865118345,26.580178651183445,260.0,3.5,0.64,2.5,78.51,20.0,较高风险,较高风险,预测位移较大且锚杆支护面积偏低，建议提高锚杆支护参数,预测误差处于可接受范围,displacement>=100 & bolt_area<=0.64: 建议提高锚杆支护,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。
33,5.7,4.000894735128254,1.6991052648717462,289.0,4.2,0.81,2.22,46.19,14.0,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,无,预测顶板位移较小，现有支护参数基本满足控制要求。
34,30.0,45.69153996322138,15.69153996322138,260.0,3.9,1.2,1.0,24.39,11.03,低风险,低风险,支护参数满足当前设计要求,预测误差处于可接受范围,roof_strength<=30: 顶板强度偏低，加强复核,预测顶板位移较小，现有支护参数基本满足控制要求。
35,150.0,149.4613543506608,0.5386456493392018,850.0,5.0,0.72,2.5,76.1,10.3,较高风险,较高风险,支护参数满足当前设计要求,预测误差处于可接受范围,depth>=700: 埋深较大，关注深部高地应力影响,预测顶板位移较大，建议复核支护参数并适当加强锚杆锚索支护。
